10:25:42.406 [restartedMain] INFO  c.d.v.VuebackendApplication - Starting VuebackendApplication on DESKTOP-QAE3IBP with PID 9428 (C:\Users\DUCTHIEN\git\vuebackend\target\classes started by DUCTHIEN in C:\Users\DUCTHIEN\git\vuebackend)
10:25:42.407 [restartedMain] INFO  c.d.v.VuebackendApplication - No active profile set, falling back to default profiles: default
10:25:42.439 [restartedMain] INFO  o.s.c.a.ConfigurationClassParser - Properties location [file:./application_override.properties] not resolvable: .\application_override.properties (The system cannot find the file specified)
10:25:42.449 [restartedMain] INFO  o.s.c.a.ConfigurationClassParser - Properties location [file:./application_override.properties] not resolvable: .\application_override.properties (The system cannot find the file specified)
10:25:42.450 [restartedMain] INFO  o.s.c.a.ConfigurationClassParser - Properties location [file:./application_override.properties] not resolvable: .\application_override.properties (The system cannot find the file specified)
10:25:42.930 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
10:25:42.964 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33ms. Found 4 JPA repository interfaces.
10:25:43.030 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@7011f2a5' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:43.032 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:43.113 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
10:25:43.114 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:25:43.114 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
10:25:43.147 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:25:43.147 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 736 ms
10:25:43.183 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-43 - Starting...
10:25:43.184 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-43 - Start completed.
10:25:43.185 [restartedMain] INFO  o.f.c.i.database.DatabaseFactory - Database: jdbc:h2:mem:meowgidb (H2 1.4)
10:25:43.187 [restartedMain] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Repair of failed migration in Schema History table "PUBLIC"."flyway_schema_history" not necessary as table doesn't exist.
10:25:43.188 [restartedMain] INFO  o.f.core.internal.command.DbRepair - Successfully repaired schema history table "PUBLIC"."flyway_schema_history" (execution time 00:00.002s).
10:25:43.190 [restartedMain] INFO  o.f.c.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.001s)
10:25:43.192 [restartedMain] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table "PUBLIC"."flyway_schema_history" ...
10:25:43.197 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "PUBLIC": << Empty Schema >>
10:25:43.200 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version 1.0.1 - ddl
10:25:43.210 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema "PUBLIC" (execution time 00:00.014s)
10:25:43.213 [restartedMain] INFO  o.f.c.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.001s)
10:25:43.216 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "PUBLIC": 1.0.1
10:25:43.216 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Schema "PUBLIC" is up to date. No migration necessary.
10:25:43.217 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2'. Database available at 'jdbc:h2:mem:meowgidb'
10:25:43.269 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:25:43.299 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:25:43.318 [task-1] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:25:43.332 [task-1] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
10:25:43.384 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
10:25:43.390 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:25:43.495 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
